# Deterministic 100-row stress fixture for DuePilot. As-of date: 2026-09-18.
invoice,amount,due_date,buyer,status,accepted,po,delivery_proof,invoice_proof,udyam,buyer_type,notes
ST-001,105000,2026-09-20,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-002,110000,2026-09-21,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-003,115000,2026-09-22,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-004,120000,2026-09-23,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-005,125000,2026-09-24,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-006,130000,2026-09-25,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-007,135000,2026-09-26,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-008,140000,2026-09-27,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-009,145000,2026-09-28,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-010,150000,2026-09-29,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-011,155000,2026-09-30,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-012,160000,2026-10-01,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-013,165000,2026-10-02,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-014,170000,2026-10-03,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-015,175000,2026-10-04,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-016,180000,2026-10-05,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-017,185000,2026-10-06,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-018,190000,2026-10-07,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-019,195000,2026-10-08,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-020,200000,2026-10-09,Private Buyer,open,yes,yes,yes,yes,yes,private,
ST-021,120000,2026-09-17,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-022,127000,2026-09-16,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-023,134000,2026-09-15,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-024,141000,2026-09-14,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-025,148000,2026-09-13,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-026,155000,2026-09-12,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-027,162000,2026-09-11,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-028,169000,2026-09-10,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-029,176000,2026-09-09,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-030,183000,2026-09-08,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-031,190000,2026-09-07,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-032,197000,2026-09-06,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-033,204000,2026-09-05,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-034,211000,2026-09-04,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-035,218000,2026-09-03,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-036,225000,2026-09-02,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-037,232000,2026-09-01,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-038,239000,2026-08-31,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-039,246000,2026-08-30,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-040,253000,2026-08-29,Private Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-041,250000,2026-07-19,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-042,260000,2026-07-18,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-043,270000,2026-07-17,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-044,280000,2026-07-16,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-045,290000,2026-07-15,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-046,300000,2026-07-14,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-047,310000,2026-07-13,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-048,320000,2026-07-12,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-049,330000,2026-07-11,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-050,340000,2026-07-10,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-051,350000,2026-07-09,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-052,360000,2026-07-08,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-053,370000,2026-07-07,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-054,380000,2026-07-06,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-055,390000,2026-07-05,Industrial Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-056,600000,2026-06-10,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-057,620000,2026-06-09,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-058,640000,2026-06-08,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-059,660000,2026-06-07,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-060,680000,2026-06-06,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-061,700000,2026-06-05,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-062,720000,2026-06-04,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-063,740000,2026-06-03,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-064,760000,2026-06-02,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-065,780000,2026-06-01,Large Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-066,500000,2026-07-31,BHEL,accepted,yes,yes,yes,yes,yes,cpse,
ST-067,550000,2026-07-30,IOCL,accepted,yes,yes,yes,yes,yes,cpse,
ST-068,600000,2026-07-29,NTPC,accepted,yes,yes,yes,yes,yes,cpse,
ST-069,650000,2026-07-28,SAIL,accepted,yes,yes,yes,yes,yes,cpse,
ST-070,700000,2026-07-27,BHEL,accepted,yes,yes,yes,yes,yes,cpse,
ST-071,750000,2026-07-26,IOCL,accepted,yes,yes,yes,yes,yes,cpse,
ST-072,800000,2026-07-25,NTPC,accepted,yes,yes,yes,yes,yes,cpse,
ST-073,850000,2026-07-24,SAIL,accepted,yes,yes,yes,yes,yes,cpse,
ST-074,900000,2026-07-23,BHEL,accepted,yes,yes,yes,yes,yes,cpse,
ST-075,950000,2026-07-22,IOCL,accepted,yes,yes,yes,yes,yes,cpse,
ST-076,300000,2026-07-01,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-077,310000,2026-06-30,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-078,320000,2026-06-29,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-079,330000,2026-06-28,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-080,340000,2026-06-27,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-081,350000,2026-06-26,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-082,360000,2026-06-25,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-083,370000,2026-06-24,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-084,380000,2026-06-23,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-085,390000,2026-06-22,Private Buyer,overdue,yes,yes,no,yes,yes,private,
ST-086,400000,2026-05-21,Private Buyer,overdue,yes,yes,yes,yes,yes,private,quality dispute
ST-087,420000,2026-05-20,Private Buyer,overdue,yes,yes,yes,yes,yes,private,quality dispute
ST-088,440000,2026-05-19,Private Buyer,overdue,yes,yes,yes,yes,yes,private,quality dispute
ST-089,460000,2026-05-18,Private Buyer,overdue,yes,yes,yes,yes,yes,private,quality dispute
ST-090,480000,2026-05-17,Private Buyer,overdue,yes,yes,yes,yes,yes,private,quality dispute
ST-091,,2026-07-01,IOCL,overdue,yes,yes,yes,yes,yes,cpse,missing amount
ST-092,550000,2026-06-24,,overdue,yes,yes,yes,yes,yes,private,missing buyer
ST-093,420000,13-08-2026,Buyer,overdue,yes,yes,yes,yes,yes,private,Indian date
ST-094,420000,31-13-2026,Buyer,overdue,yes,yes,yes,yes,yes,private,bad date
ST-095,550000,2026-06-01,Buyer,overdue,yes,yes,yes,yes,yes,private,
ST-095,550000,2026-06-01,Buyer,overdue,yes,yes,yes,yes,yes,private,duplicate
ST-097,800000,2026-05-01,Buyer,overdue,yes,no,no,yes,yes,private,missing PO and delivery proof
ST-098,900000,2026-04-01,Buyer,overdue,yes,yes,yes,yes,yes,private,
,700000,2026-04-01,Buyer,overdue,yes,yes,yes,yes,yes,private,missing invoice
ST-100,650000,,Buyer,overdue,yes,yes,yes,yes,yes,private,missing due date
